Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ModChain: a hybridized secure and scaling blockchain framework for IoT environment","International Journal of Information Technology","","","","10.1007/s41870-023-01218-6","P. PabithaJ. Chandra PriyaR. PraveenS. Jagatheswari","2023","http://link.springer.com/article/10.1007/s41870-023-01218-6","Article"
"Hate speech recognition in multilingual text: hinglish documents","International Journal of Information Technology","","","","10.1007/s41870-023-01211-z","Arun Kumar YadavMohit KumarAbhishek KumarShivaniKusumDivakar Yadav","2023","http://link.springer.com/article/10.1007/s41870-023-01211-z","Article"
"GOSVM: Gannet optimization based support vector machine for malicious attack detection in cloud environment","International Journal of Information Technology","","","","10.1007/s41870-023-01192-z","M. ArunkumarK. Ashok Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01192-z","Article"
"Towards high-availability cyber-physical systems using a microservice architecture","Computing","","","","10.1007/s00607-023-01165-x","Manel MenaJavier CriadoLuis IribarneAntonio CorralRichard ChbeirYannis Manolopoulos","2023","http://link.springer.com/article/10.1007/s00607-023-01165-x","Article"
"Architecting decentralized control in large-scale self-adaptive systems","Computing","","","","10.1007/s00607-023-01167-9","Jesper AnderssonMauro CaporuscioMirko D’AngeloAnnalisa Napolitano","2023","http://link.springer.com/article/10.1007/s00607-023-01167-9","Article"
"Using distributed ledger technology for digital forensic investigation purposes on tendering projects","International Journal of Information Technology","","","","10.1007/s41870-023-01215-9","P. T. RamazhambaH. S. Venter","2023","http://link.springer.com/article/10.1007/s41870-023-01215-9","Article"
"Ebola optimization search algorithm for the enhancement of devops and cycle time reduction","International Journal of Information Technology","","","","10.1007/s41870-023-01217-7","S. R. DileepKumarJuby Mathew","2023","http://link.springer.com/article/10.1007/s41870-023-01217-7","Article"
"Energy-aware scheduling for spark job based on deep reinforcement learning in cloud","Computing","","","","10.1007/s00607-023-01171-z","Hongjian LiLiang LuWenhu ShiGangfan TanHao Luo","2023","http://link.springer.com/article/10.1007/s00607-023-01171-z","Article"
"A novel, low-cost, smart IoT based framework for fruit and vegetable quality detection during transit in India","International Journal of Information Technology","","","","10.1007/s41870-023-01177-y","Ritika WasonParul AroraAruna TomarDevansh Arora","2023","http://link.springer.com/article/10.1007/s41870-023-01177-y","Article"
"A GPU-based framework for finite element analysis of elastoplastic problems","Computing","","","","10.1007/s00607-023-01169-7","Utpal KiranDeepak SharmaSachin Singh Gautam","2023","http://link.springer.com/article/10.1007/s00607-023-01169-7","Article"
